City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ahipara,-35.1667,173.1667,61.68,91,42,4.36,NZ,1612435826
Ribeira Grande,38.5167,-28.7,53.6,62,40,21.85,PT,1612435826
Lapua,62.9693,23.0088,21.0,92,100,6.15,FI,1612435827
Viedma,-40.8135,-62.9967,68.22,49,0,4.54,AR,1612435823
Maitum,6.0392,124.4986,80.02,76,100,1.25,PH,1612435827
Bambous Virieux,-20.3428,57.7575,86.0,66,40,11.5,MU,1612435827
Van,38.4924,43.3831,37.4,81,75,6.91,TR,1612435827
Bowen,-20.0167,148.2333,78.8,83,40,5.75,AU,1612435827
Byron Bay,-28.65,153.6167,71.6,83,30,2.3,AU,1612435827
Korla,41.7597,86.1469,35.2,71,0,6.33,CN,1612435828
Zhigansk,66.7697,123.3711,-43.76,71,0,4.27,RU,1612435828
Cherskiy,68.75,161.3,-5.53,66,0,10.69,RU,1612435828
Chunskiy,56.0815,99.6342,11.08,96,99,3.6,RU,1612435828
Vila Franca do Campo,37.7167,-25.4333,53.6,66,20,20.71,PT,1612435828
Manapparai,10.6,78.4167,87.8,42,40,10.36,IN,1612435828
Palora,-1.7,-77.9333,66.6,80,47,2.44,EC,1612435828
Daru,-9.0763,143.2092,80.78,87,89,6.4,PG,1612435828
Salinas,36.6777,-121.6555,45.0,87,1,2.95,US,1612435829
Lerwick,60.1545,-1.1494,35.6,64,40,6.91,GB,1612435829
Tiksi,71.6872,128.8694,-28.77,85,70,3.04,RU,1612435829
Manokwari,-0.8667,134.0833,79.97,79,88,6.02,ID,1612435593
Leningradskiy,69.3833,178.4167,-25.62,85,99,5.82,RU,1612435829
Hudiksvall,61.729,17.1036,11.35,93,20,8.97,SE,1612435829
Geraldton,-28.7667,114.6,84.2,34,75,21.85,AU,1612435829
Orsha,54.5153,30.4053,26.6,100,90,11.18,BY,1612435829
Mayo,38.8876,-76.5119,30.2,55,1,5.75,US,1612435829
Buraidah,26.326,43.975,77.0,29,75,11.5,SA,1612435704
Monywa,22.1167,95.1333,81.66,24,0,2.35,MM,1612435830
Qaanaaq,77.484,-69.3632,-22.29,60,0,8.01,GL,1612435830
Erenhot,43.6475,111.9767,21.92,86,0,14.88,CN,1612435830
Solenzo,12.1833,-4.0833,92.05,10,33,8.57,BF,1612435830
Srednekolymsk,67.45,153.6833,-23.33,87,73,4.47,RU,1612435830
Taoudenni,22.6783,-3.9836,84.45,13,27,9.13,ML,1612435830
San Quintín,30.4833,-115.95,57.25,86,100,10.96,MX,1612435830
Tevaitoa,-16.7833,-151.5,81.01,70,28,10.76,PF,1612435830
Matara,5.9485,80.5353,83.26,73,31,3.65,LK,1612435831
Meulaboh,4.1363,96.1285,82.62,78,88,4.76,ID,1612435831
Saint George,37.1041,-113.5841,46.4,42,1,5.75,US,1612435831
Tak,16.5833,98.8333,89.6,29,20,4.61,TH,1612435831
Yeppoon,-23.1333,150.7333,78.8,69,4,9.22,AU,1612435598
Lebu,-37.6167,-73.65,59.41,80,5,7.2,CL,1612435831
Eskişehir,39.7767,30.5206,51.8,66,0,5.75,TR,1612435831
Iqaluit,63.7506,-68.5145,5.0,78,90,20.71,CA,1612435831
Inverell,-29.7833,151.1167,72.0,68,50,1.01,AU,1612435831
Tual,-5.6667,132.75,84.02,78,100,21.85,ID,1612435832
Carnarvon,-24.8667,113.6333,86.0,85,90,25.32,AU,1612435832
Deniliquin,-35.5333,144.9667,82.99,30,87,19.1,AU,1612435832
Rundu,-17.9333,19.7667,84.45,46,57,5.32,NA,1612435832
Upernavik,72.7868,-56.1549,-12.06,70,53,3.42,GL,1612435832
Zihuatanejo,17.6333,-101.55,73.04,78,0,4.12,MX,1612435832
Torbay,47.6666,-52.7314,45.0,100,75,14.97,CA,1612435832
Sekoma,-24.4,23.8833,72.0,79,100,9.53,BW,1612435832
Camacha,33.0833,-16.3333,55.4,67,40,13.8,PT,1612435833
Ponta do Sol,32.6667,-17.1,54.0,64,89,5.01,PT,1612435833
Aktash,50.3,87.7333,15.91,97,100,4.79,RU,1612435833
Beyneu,45.3167,55.2,54.16,45,37,5.73,KZ,1612435833
Upington,-28.4478,21.2561,93.2,29,20,2.3,ZA,1612435833
Bontang,0.1333,117.5,80.13,81,53,5.97,ID,1612435834
Birao,10.2849,22.7882,98.49,9,9,10.47,CF,1612435834
Nong Khai,17.9167,103.0833,87.01,57,0,3.15,TH,1612435834
Suna,57.8338,50.0588,24.24,97,100,10.18,RU,1612435834
Punta Alta,-38.8759,-62.0736,64.76,53,0,4.68,AR,1612435834
Port-Gentil,-0.7193,8.7815,87.8,70,40,10.36,GA,1612435834
Macklin,52.3334,-109.9348,-11.2,77,15,9.22,CA,1612435834
Tateyama,34.9833,139.8667,50.0,53,20,23.02,JP,1612435835
Sistranda,63.7256,8.834,17.6,86,20,6.91,NO,1612435835
Hualmay,-11.0964,-77.6139,68.68,76,99,4.85,PE,1612435835
Sobolevo,54.4299,31.8996,23.79,98,100,16.08,RU,1612435835
Luwuk,-0.9516,122.7875,79.5,77,100,2.28,ID,1612435835
Jalu,29.0331,21.5482,67.73,41,0,10.94,LY,1612435835
Libreville,0.3925,9.4537,86.0,74,20,10.36,GA,1612435835
Puerto Ayora,-0.7393,-90.3518,75.99,95,78,10.65,EC,1612435835
Carutapera,-1.195,-46.02,82.62,73,20,8.43,BR,1612435836
Kaeo,-35.1,173.7833,64.99,82,63,4.14,NZ,1612435836
Kitgum,3.2783,32.8867,101.73,11,22,3.85,UG,1612435836
Hilo,19.7297,-155.09,69.8,83,1,4.61,US,1612435805
Wanning,18.8003,110.3967,68.11,84,7,8.01,CN,1612435836
Grindavik,63.8424,-22.4338,35.6,87,90,26.46,IS,1612435836
Alice Springs,-23.7,133.8833,87.01,51,100,9.22,AU,1612435836
Pelaya,8.6882,-73.6645,73.58,82,75,3.31,CO,1612435836
Yulara,-25.2406,130.9889,78.8,73,21,8.05,AU,1612435837
Port Elizabeth,-33.918,25.5701,77.0,61,40,10.36,ZA,1612435590
Gobabis,-22.45,18.9667,85.64,21,97,10.49,NA,1612435837
Orlik,52.5178,99.825,12.58,89,87,7.45,RU,1612435837
Zunyi,27.6867,106.9072,48.02,91,100,5.46,CN,1612435837
Rosarito,32.3333,-117.0333,54.0,87,90,5.19,MX,1612435837
Iiyama,36.85,138.3667,26.01,58,86,1.99,JP,1612435837
Vardø,70.3705,31.1107,28.4,80,75,16.11,NO,1612435838
Aykhal,66.0,111.5,-25.73,83,100,8.14,RU,1612435838
Faanui,-16.4833,-151.75,81.1,70,80,8.66,PF,1612435838
Gallup,35.5281,-108.7426,39.2,56,1,13.8,US,1612435838
Saint-Augustin,51.226,-58.6502,34.56,97,100,1.52,CA,1612435838
Chui,-33.6971,-53.4616,64.22,95,99,22.66,UY,1612435838
Suntar,62.1444,117.6319,-19.88,87,96,4.03,RU,1612435838
Amga,60.8953,131.9608,-41.28,78,4,1.03,RU,1612435838
Port Blair,11.6667,92.75,81.05,72,42,11.48,IN,1612435839
Kokoda,-8.8785,147.7407,77.34,63,100,3.65,PG,1612435839
Uarini,-2.99,-65.1083,72.61,98,100,2.21,BR,1612435839
Katsuura,35.1333,140.3,50.0,53,20,23.02,JP,1612435640
Víctor Rosales,22.95,-102.7,53.67,56,67,9.98,MX,1612435839
San Patricio,28.017,-97.5169,64.0,94,20,12.66,US,1612435839
Kahului,20.8947,-156.47,66.2,94,75,5.75,US,1612435839
Dagana,16.5165,-15.5068,77.0,31,0,10.63,MR,1612435839
Noumea,-22.2763,166.4572,81.0,94,75,2.3,NC,1612435840
Tokmak,47.2514,35.7058,49.35,80,100,15.37,UA,1612435840
Klyuchi,52.2667,79.1667,26.33,99,100,3.06,RU,1612435840
Arecibo,18.4724,-66.7157,68.0,90,0,1.01,PR,1612435840
Laguna,38.421,-121.4238,44.6,76,1,9.22,US,1612435778
Makakilo City,21.3469,-158.0858,68.0,68,1,6.91,US,1612435840
Anzio,41.4853,12.6179,61.0,77,74,8.01,IT,1612435700
Asheville,35.6009,-82.554,24.01,79,1,5.75,US,1612435840
Fairbanks,64.8378,-147.7164,-4.0,77,90,3.29,US,1612435609
Chokurdakh,70.6333,147.9167,-13.34,85,22,16.75,RU,1612435841
Plastun,44.7561,136.2939,-6.47,83,1,7.45,RU,1612435841
Pevek,69.7008,170.3133,-12.91,81,0,14.34,RU,1612435841
Hūn,29.1268,15.9477,65.12,37,0,0.89,LY,1612435841
Batemans Bay,-35.7167,150.1833,73.0,89,100,11.99,AU,1612435841
Dongsheng,39.8161,109.9776,27.86,71,36,10.87,CN,1612435841
Alakurtti,66.9672,30.3491,15.01,85,44,1.99,RU,1612435841
Bengkulu,-3.8004,102.2655,81.12,83,53,4.38,ID,1612435751
Norman Wells,65.282,-126.8329,-50.8,65,20,3.18,CA,1612435842
Lagos,6.5833,3.75,86.0,79,75,6.91,NG,1612435842
Pangnirtung,66.1451,-65.7125,-5.3,78,100,2.28,CA,1612435842
Taltal,-25.4,-70.4833,64.02,77,36,2.26,CL,1612435842
Alberton,46.8168,-64.0654,30.2,100,100,5.75,CA,1612435842
Acapulco de Juárez,16.8634,-99.8901,72.82,84,7,3.96,MX,1612435842
Keta,5.9179,0.9879,89.6,66,40,4.61,GH,1612435842
Tiznit Province,29.5833,-9.5,69.4,29,100,9.24,MA,1612435843
Goiatuba,-18.0125,-49.3547,73.26,83,99,2.26,BR,1612435843
Beringovskiy,63.05,179.3167,-3.68,92,100,22.24,RU,1612435843
Mokhotlong,-29.2894,29.0675,68.38,59,40,5.99,LS,1612435843
Severo-Kuril'sk,50.6789,156.125,9.81,91,98,21.34,RU,1612435843
Watertown,42.3709,-71.1828,30.99,93,90,10.36,US,1612435683
Itoman,26.1247,127.6694,64.4,59,20,10.36,JP,1612435843
Along,28.1667,94.7667,66.58,49,7,1.03,IN,1612435843
Pilar,-9.5972,-35.9567,75.2,94,0,3.44,BR,1612435719
Mogadishu,2.0371,45.3438,84.2,58,40,16.11,SO,1612435844
Soyo,-6.1349,12.3689,86.0,74,75,6.91,AO,1612435844
Copperas Cove,31.1241,-97.9031,62.6,82,90,19.57,US,1612435844
Kuji,40.1878,141.7689,21.2,68,75,17.27,JP,1612435844
Bereket,39.2446,55.5154,62.51,31,70,3.62,TM,1612435844
Margate,51.3813,1.3862,48.0,88,80,3.0,GB,1612435844
Kingsville,27.5159,-97.8561,64.4,88,1,8.05,US,1612435844
Isla Mujeres,21.2311,-86.731,73.0,100,40,4.61,MX,1612435844
Lorengau,-2.0226,147.2712,82.24,73,99,6.15,PG,1612435844
Aquiraz,-3.9014,-38.3911,82.4,74,40,12.66,BR,1612435844
Paranaíba,-19.6772,-51.1908,78.35,78,100,1.79,BR,1612435678
Raudeberg,61.9875,5.1352,28.0,72,16,4.05,NO,1612435845
Fort-Shevchenko,44.5086,50.263,48.54,66,100,8.7,KZ,1612435845
Barcelos,41.5388,-8.6151,51.8,93,75,5.75,PT,1612435588
Pringsewu,-5.3582,104.9744,78.6,88,76,1.5,ID,1612435845
Kasane,-17.8167,25.15,80.6,65,75,8.05,BW,1612435845
Talnakh,69.4865,88.3972,-21.3,86,95,1.52,RU,1612435845
Labuhan,-6.8844,112.2051,80.35,84,59,16.84,ID,1612435845
Victor Harbor,-35.5667,138.6167,57.99,91,97,11.72,AU,1612435845
Ignacio Zaragoza,28.3833,-107.2167,45.81,53,33,7.94,MX,1612435846
Kargil,34.5667,76.1,13.42,84,42,1.07,IN,1612435846
Thinadhoo,0.5333,72.9333,82.96,74,76,9.42,MV,1612435846
Mashhad,36.297,59.6062,62.6,23,75,4.61,IR,1612435846
Port Hawkesbury,45.6169,-61.3485,39.99,100,90,4.61,CA,1612435846
Liverpool,53.4106,-2.9779,44.6,87,95,9.22,GB,1612435711
Evensk,61.95,159.2333,7.47,89,100,30.09,RU,1612435846
Fatehpur Sikri,27.1,77.6667,77.56,31,58,8.14,IN,1612435846
Hofn,64.2539,-15.2082,33.8,69,20,16.11,IS,1612435847
Kenai,60.5544,-151.2583,14.0,85,90,9.22,US,1612435847
Mandera,3.9366,41.867,93.4,18,0,9.4,KE,1612435847
Flinders,-34.5833,150.8552,73.99,77,100,11.99,AU,1612435847
Deputatsky,69.3,139.9,-14.98,91,100,2.51,RU,1612435847
Marsá Maţrūḩ,31.3525,27.2453,66.2,72,40,18.41,EG,1612435847
Berck,50.4,1.6,44.6,93,90,6.91,FR,1612435847
Porto Walter,-8.2686,-72.7439,72.16,98,100,1.97,BR,1612435847
Ambilobe,-13.2,49.05,86.63,71,84,5.75,MG,1612435702
Cabo San Lucas,22.8909,-109.9124,66.0,40,70,11.21,MX,1612435793
Kjøllefjord,70.9457,27.3465,32.0,59,75,19.57,NO,1612435848
Cabedelo,-6.9811,-34.8339,78.8,89,20,4.61,BR,1612435848
Am Timan,11.0297,20.2827,99.88,9,5,11.56,TD,1612435848
Taitung City,22.7583,121.1444,69.8,68,75,6.91,TW,1612435848
Fredericton,45.9454,-66.6656,32.0,100,90,3.44,CA,1612435842
Sinazongwe,-17.2614,27.4618,82.51,67,5,9.1,ZM,1612435848
Mossamedes,-15.1961,12.1522,77.0,57,20,12.66,AO,1612435848
Klaksvík,62.2266,-6.589,35.6,69,40,20.71,FO,1612435849
Kavieng,-2.5744,150.7967,82.15,75,100,8.05,PG,1612435849
Kushima,31.4583,131.2333,51.8,58,20,12.66,JP,1612435849
Assiniboia,49.6334,-105.9845,-5.8,71,94,13.8,CA,1612435849
Tyazhinskiy,56.116,88.524,13.71,96,100,11.36,RU,1612435849
Barre,44.197,-72.5021,24.8,93,90,8.05,US,1612435849
Mezhdurechensk,53.6942,88.0603,20.86,94,100,6.22,RU,1612435849
Quang Ngai,15.1167,108.8,70.41,89,96,4.54,VN,1612435849
Biak,-0.9131,122.8766,78.13,80,100,2.66,ID,1612435849
Mizdah,31.4451,12.9801,65.37,32,3,6.08,LY,1612435850
Pravokumskoye,44.7694,44.6472,52.45,61,98,1.19,RU,1612435850
Qaqortoq,60.7167,-46.0333,12.2,52,75,3.44,GL,1612435850
Nishihara,26.1842,127.7558,64.4,51,20,9.22,JP,1612435850
Coquimbo,-29.9533,-71.3436,57.2,94,90,6.91,CL,1612435730
Dābhol,17.6,73.1667,81.7,41,29,10.2,IN,1612435850
Senanga,-16.1167,23.2667,82.78,56,21,6.49,ZM,1612435850
Haines Junction,60.7522,-137.5108,-27.4,68,98,0.96,CA,1612435850
Tripoli,32.8752,13.1875,68.5,41,0,5.57,LY,1612435851
Saldanha,-33.0117,17.9442,78.8,53,17,12.66,ZA,1612435851
Huicungo,-7.2833,-76.8,70.81,94,100,1.52,PE,1612435851
General Roca,-39.0333,-67.5833,57.2,82,0,6.96,AR,1612435851
Tasiilaq,65.6145,-37.6368,18.72,94,92,9.89,GL,1612435851
Hueytamalco,19.95,-97.2667,57.87,64,0,3.62,MX,1612435851
Skellefteå,64.7507,20.9528,24.01,86,75,12.66,SE,1612435851
Jiuquan,39.7432,98.5174,33.01,65,71,12.93,CN,1612435851
Zhezkazgan,47.8043,67.7144,27.21,98,100,6.44,KZ,1612435852
Belaya Gora,68.5333,146.4167,-15.81,89,100,3.42,RU,1612435852
Los Llanos de Aridane,28.6585,-17.9182,64.4,48,40,9.22,ES,1612435852
Porto Santo,33.072,-16.3415,55.4,67,40,13.8,PT,1612435852
Hay River,60.8156,-115.7999,-14.8,70,100,13.8,CA,1612435852
Kétou,7.3633,2.5998,103.41,28,0,1.01,BJ,1612435852
Yangcun,39.3639,117.0603,45.0,22,0,4.47,CN,1612435852
Rawson,-43.3002,-65.1023,60.8,100,0,2.3,AR,1612435853
Midland,31.9974,-102.0779,62.6,25,1,14.97,US,1612435608
Berlevåg,70.8578,29.0864,30.2,74,75,19.57,NO,1612435853
Kropotkin,45.4375,40.5756,56.89,47,99,7.49,RU,1612435853
Horodnytsya,50.807,27.3168,39.36,96,97,10.78,UA,1612435853
Jumla,29.2747,82.1838,44.29,53,80,5.95,NP,1612435853
Nemuro,43.3236,145.575,18.45,88,77,18.59,JP,1612435853
Yatou,37.15,122.3833,34.99,84,96,13.76,CN,1612435854
Saint Paul Harbor,57.79,-152.4072,21.2,86,75,3.44,US,1612435854
Sitka,57.0531,-135.33,37.4,100,90,8.05,US,1612435854
Obo,5.3998,26.4869,111.72,12,38,1.34,CF,1612435854
Khovd,48.0056,91.6419,21.22,82,99,3.04,MN,1612435854
Port Lincoln,-34.7333,135.8667,57.2,68,14,15.19,AU,1612435854
Palu,-0.8917,119.8707,77.74,78,100,1.32,ID,1612435854
Green River,41.5286,-109.4662,14.0,73,1,11.5,US,1612435854
Kendari,-3.945,122.4989,76.98,89,100,0.89,ID,1612435854
São Gabriel da Cachoeira,-0.1303,-67.0892,72.81,99,100,0.56,BR,1612435855
Puerto Baquerizo Moreno,-0.9,-89.6,75.76,85,75,11.52,EC,1612435855
Fortuna,40.5982,-124.1573,36.0,100,1,6.91,US,1612435855
Rūdbār,30.15,62.6,64.83,25,0,1.52,AF,1612435855
Puerto Escondido,15.85,-97.0667,74.28,74,0,4.41,MX,1612435855
Dawson Creek,55.7666,-120.2362,-4.0,77,40,4.61,CA,1612435855
Naples,40.8333,14.25,61.0,67,40,4.61,IT,1612435672
Opuwo,-18.0607,13.84,88.88,20,43,1.99,NA,1612435855
Narsaq,60.9167,-46.05,12.2,52,75,3.44,GL,1612435855
Béziers,43.3476,3.219,53.01,87,90,3.44,FR,1612435856
São João da Barra,-21.6403,-41.0511,77.0,78,0,6.91,BR,1612435856
Aitape,-3.1374,142.3475,80.31,81,96,4.54,PG,1612435856
Cotonou,6.3654,2.4183,87.8,74,40,10.36,BJ,1612435856
Sur,22.5667,59.5289,75.0,59,0,9.17,OM,1612435856
Sioux Lookout,50.1001,-91.917,24.8,100,90,4.61,CA,1612435843
Oranjemund,-28.55,16.4333,70.86,63,18,18.01,NA,1612435856
Erie,42.7667,-78.6664,23.0,87,13,7.67,US,1612435742
Shimoda,34.6667,138.95,37.99,60,0,1.99,JP,1612435857
Gondanglegi,-7.7479,112.0132,77.59,87,96,7.85,ID,1612435857
Oyo,7.85,3.9333,97.48,16,2,4.52,NG,1612435857
Adeje,28.1227,-16.726,69.8,43,40,13.8,ES,1612435857
Rauma,61.1272,21.5113,17.6,86,90,4.61,FI,1612435857
Tiarei,-17.5333,-149.3333,75.2,88,0,2.3,PF,1612435857
Bāfq,31.6128,55.4107,67.23,21,0,0.92,IR,1612435857
Bafoulabé,13.8065,-10.8321,92.57,9,23,5.37,ML,1612435858
Bendigo,-36.7667,144.2833,77.0,31,91,7.34,AU,1612435850
Tura,25.5198,90.2201,73.72,42,0,2.71,IN,1612435858
Hambantota,6.1241,81.1185,82.4,78,40,12.66,LK,1612435858
Bambanglipuro,-7.95,110.2833,79.59,83,84,9.26,ID,1612435858
Fort Morgan,40.2503,-103.8,24.8,68,1,9.22,US,1612435858
Boende,-0.2167,20.8667,89.37,54,100,4.81,CD,1612435858
Port Hardy,50.6996,-127.4199,41.0,100,90,9.22,CA,1612435858
Luganville,-15.5333,167.1667,79.79,80,100,0.65,VU,1612435858
Polunochnoye,60.8697,60.4153,13.86,97,99,2.64,RU,1612435859
Russell,32.3502,-85.1999,33.8,86,1,2.71,US,1612435859
Karaton,-6.3424,106.1045,81.0,88,90,9.22,ID,1612435859
Chalisgaon,20.4667,75.0167,87.91,15,0,7.25,IN,1612435859
Kazanka,47.8462,32.8218,41.0,93,90,15.66,UA,1612435859
Broome,42.2506,-75.833,25.0,79,1,13.8,US,1612435859
Palatka,29.6486,-81.6376,35.6,100,75,1.9,US,1612435859
Mana,5.6592,-53.7767,77.45,85,100,14.47,GF,1612435859
Maniitsoq,65.4167,-52.9,3.69,73,0,9.48,GL,1612435860
Tautira,-17.7333,-149.15,75.2,88,0,2.3,PF,1612435860
Grand Gaube,-20.0064,57.6608,84.99,67,11,11.99,MU,1612435860
Goundam,16.4145,-3.6708,89.69,9,4,14.61,ML,1612435860
Burnie,-41.0667,145.9167,64.99,80,100,5.99,AU,1612435860
Teya,60.3778,92.6267,4.17,91,100,6.24,RU,1612435860
Partenit,44.578,34.3446,51.01,79,66,7.0,UA,1612435860
Znamenskoye,57.1281,73.8282,9.9,96,64,4.52,RU,1612435861
Kemijärvi,66.7131,27.4306,18.14,94,92,10.98,FI,1612435861
Araouane,18.9048,-3.5265,83.77,11,3,12.37,ML,1612435861
